iter	Passed	Remaining
0	1	1593
1	2	1496
2	4	1402
3	5	1358
4	6	1382
5	8	1364
6	9	1344
7	10	1332
8	12	1323
9	13	1306
10	14	1292
11	15	1279
12	16	1270
13	18	1269
14	19	1260
15	20	1266
16	22	1272
17	23	1273
18	24	1269
19	25	1261
20	26	1258
21	28	1255
22	29	1252
23	30	1247
24	32	1254
25	33	1250
26	34	1245
27	35	1247
28	37	1249
29	38	1255
30	40	1258
31	41	1255
32	42	1251
33	43	1247
34	45	1267
35	47	1265
36	48	1262
37	49	1258
38	51	1261
39	52	1262
40	53	1256
41	54	1251
42	56	1246
43	57	1242
44	58	1241
45	59	1238
46	61	1248
47	62	1247
48	64	1244
49	66	1259
50	67	1264
51	69	1263
52	70	1261
53	71	1258
54	73	1257
55	74	1257
56	76	1257
57	77	1254
58	78	1249
59	79	1247
60	80	1246
61	82	1242
62	83	1238
63	84	1234
64	85	1230
65	86	1225
66	87	1221
67	88	1218
68	90	1215
69	91	1211
70	92	1207
71	93	1203
72	94	1206
73	96	1204
74	97	1201
75	98	1198
76	99	1194
77	100	1190
78	101	1187
79	102	1183
80	104	1180
81	105	1176
82	105	1167
83	106	1164
84	107	1161
85	109	1159
86	110	1159
87	111	1157
88	112	1155
89	113	1152
90	115	1150
91	116	1147
92	117	1144
93	118	1144
94	119	1141
95	121	1140
96	122	1137
97	123	1135
98	124	1133
99	125	1132
100	127	1130
101	128	1130
102	129	1131
103	131	1129
104	132	1127
105	133	1126
106	134	1124
107	135	1122
108	137	1120
109	138	1120
110	140	1125
111	142	1127
112	143	1127
113	144	1125
114	145	1123
115	147	1121
116	148	1117
117	149	1115
118	150	1112
119	151	1110
120	152	1108
121	153	1105
122	154	1105
123	156	1103
124	157	1101
125	158	1099
126	159	1097
127	160	1094
128	161	1092
129	162	1090
130	164	1088
131	165	1086
132	166	1084
133	167	1081
134	168	1080
135	170	1080
136	171	1078
137	172	1077
138	173	1075
139	174	1073
140	175	1071
141	176	1066
142	177	1064
143	179	1064
144	180	1064
145	181	1064
146	184	1070
147	186	1071
148	187	1071
149	188	1070
150	190	1068
151	191	1069
152	193	1068
153	194	1067
154	195	1065
155	196	1064
156	198	1066
157	200	1068
158	202	1068
159	205	1078
160	206	1076
161	208	1076
162	209	1074
163	210	1074
164	212	1074
165	214	1076
166	215	1075
167	217	1076
168	218	1075
169	219	1073
170	221	1072
171	222	1071
172	223	1069
173	225	1068
174	226	1068
175	228	1069
176	229	1068
177	231	1067
178	232	1065
179	233	1064
180	235	1063
181	236	1062
182	237	1059
183	238	1058
184	239	1056
185	241	1056
186	242	1056
187	244	1054
188	245	1053
189	246	1051
190	248	1051
191	249	1049
192	250	1047
193	251	1046
194	254	1049
195	256	1050
196	257	1050
197	258	1048
198	260	1047
199	261	1047
200	263	1047
201	264	1046
202	266	1047
203	267	1045
204	270	1047
205	283	1093
206	288	1106
207	291	1109
208	293	1112
209	312	1175
210	316	1184
211	319	1189
212	322	1192
213	326	1198
214	330	1205
215	332	1208
216	341	1231
217	346	1243
218	348	1244
219	352	1250
220	394	1389
221	395	1385
222	396	1382
223	398	1379
224	399	1377
225	401	1373
226	402	1370
227	403	1366
228	404	1362
229	405	1359
230	407	1356
231	408	1353
232	415	1367
233	418	1371
234	426	1387
235	431	1396
236	432	1393
237	434	1389
238	435	1387
239	438	1387
240	439	1384
241	440	1381
242	442	1377
243	443	1375
244	445	1371
245	446	1368
246	447	1364
247	448	1361
248	450	1357
249	452	1356
250	453	1353
251	454	1349
252	455	1345
253	456	1341
254	458	1340
255	460	1337
256	461	1333
257	462	1331
258	464	1327
259	465	1325
260	467	1323
261	468	1320
262	470	1318
263	471	1315
264	473	1313
265	474	1309
266	475	1306
267	477	1303
268	478	1299
269	479	1296
270	481	1295
271	482	1292
272	484	1289
273	485	1286
274	487	1284
275	488	1281
276	489	1278
277	491	1275
278	492	1272
279	493	1269
280	495	1268
281	496	1265
282	498	1262
283	499	1258
284	501	1256
285	502	1254
286	503	1251
287	504	1248
288	506	1245
289	507	1242
290	508	1238
291	510	1236
292	511	1234
293	512	1231
294	513	1228
295	515	1225
296	516	1222
297	518	1220
298	519	1217
299	520	1214
300	521	1211
301	523	1209
302	525	1207
303	526	1206
304	528	1203
305	529	1201
306	531	1199
307	532	1196
308	533	1193
309	534	1190
310	536	1187
311	537	1185
312	539	1184
313	541	1183
314	543	1181
315	544	1178
316	545	1175
317	546	1172
318	547	1169
319	548	1166
320	549	1163
321	551	1160
322	552	1158
323	554	1156
324	555	1153
325	556	1151
326	557	1148
327	559	1145
328	560	1143
329	561	1140
330	563	1138
331	564	1135
332	565	1132
333	567	1132
334	569	1129
335	570	1127
336	571	1124
337	572	1121
338	574	1119
339	575	1117
340	576	1114
341	577	1111
342	579	1109
343	580	1106
344	582	1105
345	583	1103
346	584	1100
347	586	1098
348	588	1096
349	589	1094
350	590	1091
351	591	1089
352	593	1087
353	594	1084
354	595	1081
355	597	1080
356	598	1078
357	600	1076
358	601	1073
359	602	1071
360	604	1069
361	605	1067
362	606	1064
363	607	1062
364	609	1059
365	610	1057
366	611	1055
367	613	1053
368	614	1050
369	615	1048
370	617	1046
